Randomizer Version: 4.6.1
Random Seed: 38577501505239
Settings String: 322IygEAnj8AP8AAgERAAKkJAjECQAACQA9AQABoAAAAAAAAgCIxsEywVoICTIJCQDGUwEAElBva2Vtb24gT21lZ2EgUnViee7Lak7jwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Recover have 5 PP
Made Soft-Boiled have 5 PP
Made Leech Life have 80 power and 10 PP
Made Rest have 5 PP
Made Swagger have 85% accuracy
Made Milk Drink have 5 PP
Made Rapid Spin have 50 power
Made Luster Purge have 95 power
Made Mist Ball have 95 power
Made Slack Off have 5 PP
Made Roost have 5 PP
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
  1|Bulbasaur       |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Healer        |Swarm         |Solar Power   |
  2|Ivysaur         |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Desolate Land |Suction Cups  |Magnet Pull   |
  3|Venusaur        |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Sticky Hold   |Insomnia      |Synchronize   |
  4|Charmander      |FIRE             |  39|  52|  43|  60|  50|  65|Frisk         |Ice Body      |Heatproof     |
  5|Charmeleon      |FIRE             |  58|  64|  58|  80|  65|  80|Synchronize   |Pickpocket    |Aroma Veil    |Comet Shard (common), Mago Berry (rare)
  6|Charizard       |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Liquid Ooze   |Early Bird    |Dry Skin      |Lansat Berry (common)
  7|Squirtle        |WATER            |  44|  48|  65|  50|  64|  43|Static        |Intimidate    |Overcoat      |Max Elixir (common), Dragon Fang (rare)
  8|Wartortle       |WATER            |  59|  63|  80|  65|  80|  58|Harvest       |Normalize     |Snow Warning  |Bright Powder (common)
  9|Blastoise       |WATER            |  79|  83| 100|  85| 105|  78|Wonder Skin   |Honey Gather  |Early Bird    |
 10|Caterpie        |BUG              |  45|  30|  35|  20|  20|  45|Poison Touch  |Blaze         |Gale Wings    |Coba Berry (rare)
 11|Metapod         |BUG              |  50|  20|  55|  25|  25|  30|Analytic      |Pressure      |Weak Armor    |
 12|Butterfree      |BUG/FLYING       |  60|  45|  50|  90|  80|  70|Own Tempo     |Solar Power   |Pure Power    |
 13|Weedle          |BUG/POISON       |  40|  35|  30|  20|  20|  50|Shell Armor   |Unnerve       |Gluttony      |Lucky Egg (rare)
 14|Kakuna          |BUG/POISON       |  45|  25|  50|  25|  25|  35|Fairy Aura    |Heavy Metal   |Symbiosis     |Amaze Mulch (rare)
 15|Beedrill        |BUG/POISON       |  65|  90|  40|  45|  80|  75|Friend Guard  |Victory Star  |Mummy         |Claw Fossil (rare)
 16|Pidgey          |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Snow Warning  |Tinted Lens   |Normalize     |
 17|Pidgeotto       |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Sand Force    |Mold Breaker  |Bad Dreams    |
 18|Pidgeot         |NORMAL/FLYING    |  83|  80|  75|  70|  70| 101|Thick Fat     |Adaptability  |Swift Swim    |Red Card (common)
 19|Rattata         |NORMAL           |  30|  56|  35|  25|  35|  72|Compound Eyes |Anticipation  |Liquid Ooze   |
 20|Raticate        |NORMAL           |  55|  81|  60|  50|  70|  97|Cursed Body   |Aroma Veil    |Contrary      |Shed Shell (common), Protein (rare)
 21|Spearow         |NORMAL/FLYING    |  40|  60|  30|  31|  31|  70|Wonder Skin   |Unburden      |Iron Fist     |Potion (common), Sablenite (rare)
 22|Fearow          |NORMAL/FLYING    |  65|  90|  65|  61|  61| 100|Adaptability  |Magnet Pull   |Solar Power   |
 23|Ekans           |POISON           |  35|  60|  44|  40|  54|  55|Stench        |Regenerator   |Slow Start    |
 24|Arbok           |POISON           |  60|  95|  69|  65|  79|  80|Inner Focus   |Thick Fat     |Gale Wings    |
 25|Pikachu         |ELECTRIC         |  35|  55|  40|  50|  50|  90|Delta Stream  |Hustle        |Parental Bond |
 26|Raichu          |ELECTRIC         |  60|  90|  55|  90|  80| 110|Swift Swim    |Competitive   |Moody         |Rowap Berry (common), Fresh Water (rare)
 27|Sandshrew       |GROUND           |  50|  75|  85|  20|  30|  40|Stall         |Mummy         |Swarm         |Relic Crown (common)
 28|Sandslash       |GROUND           |  75| 100| 110|  45|  55|  65|Poison Heal   |Own Tempo     |Insomnia      |Icy Rock (100%)
 29|Nidoran♀        |POISON           |  55|  47|  52|  40|  40|  41|Aroma Veil    |Solar Power   |Own Tempo     |
 30|Nidorina        |POISON           |  70|  62|  67|  55|  55|  56|Soundproof    |Insomnia      |Super Luck    |Eviolite (100%)
 31|Nidoqueen       |POISON/GROUND    |  90|  92|  87|  75|  85|  76|Filter        |Early Bird    |Keen Eye      |
 32|Nidoran♂        |POISON           |  46|  57|  40|  40|  40|  50|Light Metal   |Anger Point   |Super Luck    |
 33|Nidorino        |POISON           |  61|  72|  57|  55|  55|  65|Grass Pelt    |Teravolt      |Mummy         |
 34|Nidoking        |POISON/GROUND    |  81| 102|  77|  85|  75|  85|Shadow Tag    |Desolate Land |Aura Break    |Aggronite (rare)
 35|Clefairy        |FAIRY            |  70|  45|  48|  60|  65|  35|Turboblaze    |Stench        |Multiscale    |
 36|Clefable        |FAIRY            |  95|  70|  73|  95|  90|  60|Water Veil    |Sheer Force   |Friend Guard  |
